"Family","PC1","PC2","PC3","PC4","Pop","Tree","State","Region","Date","Latitude","Longitude","Elevation","DBH","Budbreak_2020","BudSet_2019","BudSet_2020","Growth","BudBreak_cGDD_plasticity","BudSet_2019_plasticity","BudSet_2020_plasticity","Growth_plasticity","TotalDry_plasticity","RootShoot_plasticity","SideBranch_MainStem_plasticity","Delta13Carbon_plasticity","Delta15Nitrogen_plasticity","PercentN_plasticity","CN_ratio_plasticity","TotalDry","RootShoot","SideBranch_MainStem","delta13C","delta15N","percentN","CN_ratio","q1","q2"
"BLA_05",-0.0050739080905236,-0.142505345957528,0.05394341174186,0.0304273567746718,"BLA",5,"PA","Margin",9132017,41.11547,75.59589,510,30.6,648.4489721,257.0854425,213.5144351,39.17177163,19.39161393,5.825413531,5.746665082,0.366003248,3.72213676,0.003379787,0.132791418,0.094558135,0.722377205,0.049412674,0.000596023,60.70831214,-1.618065731,0.850032614,-30.98479409,2.514798476,1.671554163,30.00429217,0.7259678,0.2740322
"BRA_01",-0.0162425817771034,-0.127830222675943,0.0889072198577363,0.0602264829547081,"BRA",1,"PA","Margin",9132017,41.15817,75.53619,520,37.6,657.1397095,248.5258067,206.4714747,30.75823641,25.29375501,3.198506414,5.89296847,0.853910327,1.556820599,0.009750284,0.135885497,0.090932772,0.719215615,0.026714004,0.131629795,30.99941254,-1.582543971,0.859680538,-31.08377639,2.582342589,1.46350356,33.71419935,0.7961401,0.2038599
"BRA_02",-0.0409544218606261,-0.0762371127137464,-0.0605408890347284,-0.00256164425165901,"BRA",2,"PA","Margin",9132017,41.15854,75.53651,531,18.5,639.2447857,270.0571565,205.1095793,31.73601266,19.72711538,2.085964915,5.496895155,0.818665695,1.442647166,0.003685165,0.125631153,0.000604223,0.72992897,0.036215732,0.056554336,28.40717958,-1.636856283,0.81679839,-30.76773715,2.536500474,1.552047035,31.60568486,0.8498237,0.1501763
"BRA_03",-0.0286072419715507,-0.078711503183683,-0.0481061858007143,-0.00159865465109091,"BRA",3,"PA","Margin",9132017,41.16102,75.53809,528,24.3,653.74973,256.242845,212.4793335,36.60287577,25.03448101,3.355051203,5.79070445,0.48295597,2.107297493,0.002817171,0.13035134,0.143784119,0.801878189,0.038096104,0.078339028,37.6324838,-1.593140999,0.826639367,-31.05938017,2.183531627,1.566235777,32.21061596,0.8440401,0.1559599
"BRA_04",-0.0374221585059258,-0.0773603374195265,-0.108371305804557,-0.00870615738957993,"BRA",4,"PA","Margin",9132017,41.16406,75.54375,531,15.1,676.4944395,265.900774,216.2866642,37.98936135,34.14144769,3.104124257,5.865820678,0.433657132,2.020969988,0.01202209,0.124686455,0.079792314,0.689015538,0.030503294,0.103439924,36.44264146,-1.564840444,0.775801226,-31.10314769,2.642960315,1.497413769,32.87596443,0.844145,0.155855
"BRA_05",-0.0301752435546413,-0.0712106246389757,0.0121169619223182,0.0500023261281533,"BRA",5,"PA","Margin",9132017,41.15577,75.52876,539,NA,647.9675294,263.8657732,214.7759658,29.74179104,23.37286384,3.462294193,6.610806479,0.941668065,1.911239315,0.013294067,0.170080276,0.034398387,0.661878637,0.021999048,0.167375955,35.01278786,-1.588171853,0.958040105,-30.81893936,2.653998386,1.409711481,34.80868885,0.8357496,0.1642504
"BRB_01",-0.0781545602933545,0.00758273742770167,-0.0382795946402086,-0.00476809805478837,"BRB",1,"WV","Edge",10022017,39.11781,79.58277,988,59.5,683.9778734,260.5719153,208.5693778,32.02375077,35.64423143,3.910936798,5.507585099,0.787138249,0.775626063,0.009311975,0.13657635,0.102508352,0.725228455,0.048590657,0.021040293,18.49527051,-1.599610982,0.850180465,-31.09179686,2.542789079,1.666557993,30.54314242,0.98531,0.01469
"BRB_02",-0.0797061507249752,0.0245933826510367,-0.0181331020826861,0.00558232405946182,"BRB",2,"WV","Edge",10022017,39.11853,79.58482,985,43.6,672.7758572,267.6744051,206.5354091,29.63149496,32.31335194,3.122852356,5.513264819,0.938864645,0.508195373,0.013453194,0.119014651,0.084951639,0.702774054,0.024468119,0.122369042,14.01289797,-1.565942164,0.755802275,-30.97486947,2.631456911,1.439788959,33.33172183,0.99975,0.00025
"BRB_03",-0.069440659212648,0.0308459284523455,-0.0341221743105426,0.0139149743097134,"BRB",3,"WV","Edge",10022017,39.11863,79.58606,983,22,682.3807696,257.5484572,211.491839,33.01093411,33.19158822,2.064359634,5.371817366,0.70636838,0.969113604,0.007656437,0.125335675,0.104277385,0.819354774,0.04807226,0.042861799,21.24717999,-1.601626339,0.806407225,-30.96699429,2.329260022,1.627833668,31.29361862,0.9992663,0.0007337
"BRB_04",-0.0626424648795587,0.0182713485923156,-0.000667548972010117,0.00148474830142192,"BRB",4,"WV","Edge",10022017,39.11602,79.58139,986,7,673.5093225,260.1954744,207.9500624,30.34392444,31.21353978,3.594793242,6.003177083,0.899927847,1.16543066,0.008191742,0.118217011,0.059049812,0.655727708,0.03292014,0.083662852,24.50736866,-1.568321197,0.776952252,-31.012745,2.861869259,1.520511323,32.37962295,0.9897448,0.0102551
